date,open,high,low,close,volume,R_t1
4/12/19,1848.4,1851.5,1841.3,1843.06,3114413,-0.108650831
4/5/19,1829,1838.58,1825.19,1837.28,3640476,-0.039868719
3/29/19,1786.58,1792.86,1776.63,1780.75,3320793,0.004413871
3/22/19,1810.17,1818.98,1763.11,1764.77,6362983,0.070762762
3/15/19,1703,1718.8,1693.13,1712.36,7550870,0.169730664
3/8/19,1604.01,1622.72,1586.57,1620.8,4667014,0.181521471
3/1/19,1655.13,1674.26,1651,1671.73,4974877,0.178533615
2/22/19,1623.5,1634.94,1621.17,1631.56,3096191,0.196443894
2/15/19,1627.86,1628.91,1604.5,1607.95,4343893,0.251724245
2/8/19,1586,1588.59,1566.76,1588.22,5657457,0.199701553
2/1/19,1638.88,1673.06,1622.01,1626.23,11506213,0.157413158
1/25/19,1670.5,1683.48,1661.61,1670.57,4959679,0.129135565
1/18/19,1712,1716.2,1691.54,1696.2,6020503,0.074926306
1/11/19,1640.55,1660.29,1636.22,1640.56,4686222,0.10771322
1/4/19,1530,1594,1518.31,1575.39,9182575,0.151270479
12/28/18,1473.35,1513.47,1449,1478.02,8828950,0.226661344
12/21/18,1464.99,1480,1363.96,1377.45,13259444,0.241881738
12/14/18,1638,1642.57,1585,1591.91,6367163,0.067773932
12/7/18,1705.07,1718.93,1625.46,1629.13,7576132,0.053120377
11/30/18,1679.5,1696,1666.5,1690.17,5761761,0.015264737
11/23/18,1517,1536.2,1501.81,1502.06,2707642,0.121120328
11/16/18,1587.5,1614.48,1573.12,1593.41,6066080,0.03020566
11/9/18,1732.5,1743.92,1701.87,1712.43,5902186,-0.059727989
11/2/18,1678.59,1697.44,1651.83,1665.53,6955548,-0.054733328
10/26/18,1649.59,1698.46,1603,1642.81,14963783,-0.024287653
10/19/18,1785.16,1809.1,1753,1764.03,5907246,-0.103785083
10/12/18,1808,1808.95,1742.53,1788.61,9343778,-0.120758578
10/5/18,1917.99,1929.08,1862.83,1889.65,6822327,-0.191654539
9/28/18,2004.41,2026.52,1996.46,2003,4085135,-0.285676485
9/21/18,1954.22,1957.31,1910.5,1915.01,6855898,-0.266202265
9/14/18,1992.93,1993.65,1959.22,1970.19,3642030,-0.240905699
9/7/18,1938.71,1975.2,1937.35,1952.07,4892643,-0.194864938
8/31/18,2007,2022.38,2004.74,2012.71,4204378,-0.215540242
8/24/18,1910.51,1916.01,1902.54,1905.39,2800863,-0.212628386
